SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22024,1610612766,CHA,Charlotte Hornets,0022400502,2025-01-07,CHA vs. PHX,W,241,115,38,98,0.388,13,47,0.277,26,29,0.897,20,39,59,23,9,5,11,19,11.0
22024,1610612766,CHA,Charlotte Hornets,0022400488,2025-01-05,CHA @ CLE,L,239,105,38,91,0.418,15,42,0.357,14,19,0.737,13,35,48,19,9,4,15,18,-10.0
22024,1610612766,CHA,Charlotte Hornets,0022400469,2025-01-03,CHA @ DET,L,239,94,33,80,0.413,9,30,0.3,19,30,0.633,9,36,45,25,8,6,17,10,-4.0
22024,1610612766,CHA,Charlotte Hornets,0022400442,2024-12-30,CHA vs. CHI,L,265,108,42,101,0.416,10,43,0.233,14,20,0.7,9,47,56,23,8,6,14,20,-7.0
22024,1610612766,CHA,Charlotte Hornets,0022400428,2024-12-28,CHA vs. OKC,L,239,94,29,80,0.363,11,34,0.324,25,28,0.893,8,36,44,17,9,5,18,16,-12.0
22024,1610612766,CHA,Charlotte Hornets,0022400412,2024-12-26,CHA @ WAS,L,239,110,41,94,0.436,17,42,0.405,11,14,0.786,11,39,50,31,6,4,18,23,-3.0
22024,1610612766,CHA,Charlotte Hornets,0022400391,2024-12-23,CHA vs. HOU,L,239,101,37,89,0.416,10,36,0.278,17,24,0.708,11,33,44,25,8,6,11,15,-13.0
22024,1610612766,CHA,Charlotte Hornets,0022400373,2024-12-20,CHA @ PHI,L,242,98,36,78,0.462,10,31,0.323,16,21,0.762,13,31,44,22,7,4,17,19,-10.0
22024,1610612766,CHA,Charlotte Hornets,0022400362,2024-12-19,CHA @ WAS,L,241,114,43,106,0.406,8,43,0.186,20,27,0.741,22,30,52,30,12,2,8,21,-9.0
22024,1610612766,CHA,Charlotte Hornets,0022401222,2024-12-16,CHA vs. PHI,L,240,108,42,83,0.506,12,38,0.316,12,21,0.571,9,29,38,30,12,8,20,27,-13.0
22024,1610612766,CHA,Charlotte Hornets,0022401212,2024-12-13,CHA @ CHI,L,241,95,35,98,0.357,8,46,0.174,17,21,0.81,17,37,54,22,7,5,16,20,-14.0
22024,1610612766,CHA,Charlotte Hornets,0022400349,2024-12-08,CHA @ IND,W,240,113,40,78,0.513,14,29,0.483,19,26,0.731,10,35,45,24,11,3,24,18,4.0
22024,1610612766,CHA,Charlotte Hornets,0022400340,2024-12-07,CHA vs. CLE,L,240,102,37,86,0.43,11,39,0.282,17,19,0.895,10,27,37,21,6,5,10,27,-14.0
22024,1610612766,CHA,Charlotte Hornets,0022400327,2024-12-05,CHA @ NYK,L,240,101,40,89,0.449,15,39,0.385,6,10,0.6,10,30,40,27,3,4,10,22,-24.0
